Middleware, Port: 6100, Time: 5.76 
Middleware, Port: 6100, Time: 5.38 
Gateway, Port: 6105, Time: 1.78 
Middleware, Port: 6100, Time: 5.11 
Middleware, Port: 6100, Time: 4.78 
Middleware, Port: 6100, Time: 4.78 
Middleware, Port: 6100, Time: 5.04 
Gateway, Port: 6105, Time: 1.78 
Middleware, Port: 6100, Time: 4.79 
Middleware, Port: 6100, Time: 4.79 
Middleware, Port: 6100, Time: 4.81 
Middleware, Port: 6100, Time: 4.79 
Gateway, Port: 6105, Time: 2.02 
Middleware, Port: 6100, Time: 5.03 
Middleware, Port: 6100, Time: 4.79 
Middleware, Port: 6100, Time: 4.78 
Middleware, Port: 6100, Time: 4.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Middleware, Port: 6100, Time: 4.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.86 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.94 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.81 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.82 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.83 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.82 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.83 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.81 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 2.13 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 2.01 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.81 
Gateway, Port: 6105, Time: 1.8 
Gateway, Port: 6105, Time: 1.81 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.83 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.82 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.77 
Gateway, Port: 6105, Time: 1.79 
Gateway, Port: 6105, Time: 1.78 
Total Middleware: 15 Total Gateway: 85
